player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0039918,Caleb Williams,CHI,2026,QB,14.812291,19.090702056884766,282.77703857421875,0.12957826256752014,282.712249442935,17.669515590183437,259.6826171875,305.16375732421875,6,False,269.9794600009918,12.0,12.732789441943169,64,1,9.14,-54.86,bust
00-0039794,Braelon Allen,NYJ,2026,RB,,9.53104211807251,152.49667388916015,24.905596771240234,140.04387550354005,8.752742218971253,109.63152870178223,178.93023391723634,22,False,127.62753663002343,24.0,12.416338873516622,65,3,52.91,-12.090000000000003,
00-0039851,Drake Maye,NE,2026,QB,15.479216,18.150362014770508,280.953369140625,0.20439863204956055,280.8511698246002,17.553198114037514,251.11131286621094,311.6787414550781,7,False,269.9794600009918,12.0,10.871709823608398,66,1,3.08,-62.92,bust
00-0040189,Oronde Gadsden II,LAC,2026,TE,,9.89603328704834,158.33653259277344,64.93890380859375,125.86708068847656,7.866692543029785,142.33462524414062,168.3107147216797,8,False,115.28140640258789,12.0,10.585674285888672,67,1,12.63,-54.37,bust
00-0033873,Patrick Mahomes,KC,2026,QB,15.370798,18.263242721557617,280.7206115722656,0.37136784195899963,280.5349276512861,17.533432978205383,267.1007080078125,313.9092712402344,8,False,269.9794600009918,12.0,10.555467650294304,68,1,,,
00-0040666,Omarion Hampton,LAC,2026,RB,,9.898733816146851,158.37974105834962,40.96112804412842,137.8991770362854,8.618698564767838,126.0833017730713,181.29808975219726,19,False,127.62753663002343,24.0,10.27164040626198,69,3,9.35,-59.65,bust
00-0036973,Travis Etienne,NO,2026,RB,,9.37431919883164,149.98910718130625,24.449159936271737,137.7645272131704,8.61028295082315,123.06811323788622,173.52358196334265,24,False,127.62753663002343,24.0,10.136990583146968,70,3,,,
00-0034351,Dallas Goedert,PHI,2026,TE,,9.547491073608398,152.75985717773438,56.09449005126953,124.71261215209961,7.794538259506226,127.3699722290039,168.68087768554688,9,False,115.28140640258789,12.0,9.431205749511719,71,1,14.84,-56.16,bust
00-0033906,Alvin Kamara,NO,2026,RB,,9.575958372255778,153.21533395609245,35.06816707133268,135.68125042042612,8.480078151276633,106.11142873065592,152.43384994412838,21,False,127.62753663002343,24.0,8.053713790402696,72,3,47.79,-24.21,bust
00-0034796,Lamar Jackson,BAL,2026,QB,15.288093,18.081134796142578,276.4260559082031,0.613656222820282,276.119227796793,17.25745173729956,249.4748077392578,293.752685546875,9,False,269.9794600009918,12.0,6.139767795801163,73,1,2.42,-70.58,bust
